lab_report_id,site_id,well_id,sample_id,sample_date,matrix,analyte,result,unit,lor
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFBA,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFPeA,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFHxA,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFHpA,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFOA,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFNA,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFDA,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFBS,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFPeS,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFHpS,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,4:2 FTS,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,6:2 FTS,<0.001,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFOS,0.041,ug/L,0.001
SYN-241119,FDS-01,MB2,MB2-20241119,2024-11-19,groundwater,PFHxS,0.018,ug/L,0.001
