lab_report_id,site_id,well_id,sample_id,sample_date,matrix,analyte,result,unit,lor
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFBA,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFPeA,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFHxA,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFHpA,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFOA,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFNA,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFDA,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFBS,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFPeS,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFHpS,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,4:2 FTS,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,6:2 FTS,<0.001,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFOS,0.062,ug/L,0.001
SYN-240312,FDS-01,MB2,MB2-20240312,2024-03-12,groundwater,PFHxS,0.021,ug/L,0.001
